scope,condition,bt_log_odds_vs_baseline,se,ci_low,ci_high,odds_vs_baseline,p_value,n_trials
overall,baseline,0.0,,,,1.0,,360
overall,body,-0.9324774725008544,0.22587330555223842,-1.3751891513832417,-0.48976579361846717,0.3935774242643969,3.654220133883785e-05,360
overall,mind,-0.2637579494191348,0.22377095346176187,-0.702349018204188,0.1748331193659185,0.7681594505970871,0.23851921044738908,360
overall,soul,-0.9182162581286276,0.22302904915140126,-1.355353194465374,-0.4810793217918812,0.399230530552766,3.8379380536800875e-05,360
overall,full,-0.38926085564572893,0.2243420135629797,-0.8289712022291691,0.05044949093771128,0.6775575022597697,0.08271912541183256,360
daily,baseline,0.0,,,,1.0,,183
daily,body,-0.9770947606244629,0.3175487807551013,-1.5994903709044614,-0.3546991503444643,0.37640305285970393,0.002091015695752486,183
daily,mind,-0.38447057628178255,0.32493501052192403,-1.0213431969047537,0.25240204434118857,0.6808109782888768,0.2367207819772985,183
daily,soul,-0.9758742606917167,0.3155054026986716,-1.594264849981113,-0.3574836714023203,0.3768627332232687,0.0019811017219126554,183
daily,full,-0.4675280952764908,0.31500067802673776,-1.0849294242088967,0.14987323365591515,0.6265491253959268,0.13775242715471073,183
task,baseline,0.0,,,,1.0,,177
task,body,-0.8769951226914706,0.32427630796647905,-1.5125766863057697,-0.24141355907717166,0.4160311579150192,0.006841371613213317,177
task,mind,-0.14874455289121274,0.31169369439870465,-0.7596641939126738,0.4621750881302484,0.8617892283508551,0.633209838357647,177
task,soul,-0.8785671800862827,0.31820853188524445,-1.5022559025813618,-0.25487845759120353,0.41537764686977097,0.005762832303942788,177
task,full,-0.30662978716380834,0.3230741625867349,-0.9398551458338087,0.32659557150619206,0.7359229986221154,0.3425695978620127,177
