field,option,label,count,response_n,pct_of_respondents
scriptLength,0-5,0-5,9,49,0.1836734693877551
scriptLength,0-6,0-6,5,49,0.10204081632653061
scriptLength,0-10,0-10,4,49,0.08163265306122448
scriptLength,2026-01-05 00:00:00,2026-01-05 00:00:00,4,49,0.08163265306122448
scriptLength,0-7,0-7,4,49,0.08163265306122448
scriptLength,0-3,0-3,3,49,0.061224489795918366
scriptLength,2026-03-05 00:00:00,2026-03-05 00:00:00,3,49,0.061224489795918366
scriptLength,0-11,0-11,3,49,0.061224489795918366
scriptLength,5-15_plus,5-15+ min,2,49,0.04081632653061224
scriptLength,2026-03-08 00:00:00,2026-03-08 00:00:00,2,49,0.04081632653061224
scriptLength,0-8,0-8,2,49,0.04081632653061224
scriptLength,6-15_plus,6-15+ min,1,49,0.02040816326530612
scriptLength,2026-02-05 00:00:00,2026-02-05 00:00:00,1,49,0.02040816326530612
scriptLength,2026-03-06 00:00:00,2026-03-06 00:00:00,1,49,0.02040816326530612
scriptLength,2026-05-05 00:00:00,2026-05-05 00:00:00,1,49,0.02040816326530612
scriptLength,2026-05-10 00:00:00,2026-05-10 00:00:00,1,49,0.02040816326530612
scriptLength,2026-10-14 00:00:00,2026-10-14 00:00:00,1,49,0.02040816326530612
scriptLength,2026-05-07 00:00:00,2026-05-07 00:00:00,1,49,0.02040816326530612
scriptLength,0-13,0-13,1,49,0.02040816326530612
