comparator,n_full,n_comparator,full_mean,comparator_mean,diff,row_welch_p,boot_ci_low,boot_ci_high,boot_tail_p,cluster_perm_p,row_sig,boot_sig,perm_sig,filter,rows,participants
baseline,19,22,6.877192982456141,5.4393939393939394,1.4377990430622019,0.002038231061331766,0.2303776167471822,2.6042140151515154,0.01166277907364212,0.03465511496167944,True,True,True,attention_row_pass,55,23
body,19,21,6.877192982456141,6.476190476190477,0.40100250626566414,0.20159942561577357,-0.5669715828360328,1.4708717691622113,0.19326891036321225,0.17627457514161946,False,False,False,attention_row_pass,55,23
mind,19,22,6.877192982456141,6.06060606060606,0.8165869218500816,0.047817946254741395,-0.18820296789404253,1.8697396672034372,0.05731422859046984,0.04398533822059313,True,False,True,attention_row_pass,55,23
soul,19,26,6.877192982456141,6.243589743589743,0.6336032388663986,0.09492186227926937,-0.13405065082059803,1.5511386483073448,0.05764745084971676,0.03432189270243252,False,False,True,attention_row_pass,55,23
baseline,18,20,6.925925925925926,5.250000000000001,1.6759259259259247,0.0005886214001433833,0.5909288499025334,2.7638126885369547,0.0013328890369876708,0.003998667110963012,True,True,True,no_fast_5pct_attention_pass,52,23
body,18,21,6.925925925925926,6.476190476190477,0.44973544973544843,0.18026865384600063,-0.5226740424430637,1.4697390572390565,0.17394201932689105,0.11229590136621126,False,False,False,no_fast_5pct_attention_pass,52,23
mind,18,21,6.925925925925926,6.0476190476190474,0.8783068783068781,0.043531222512420704,-0.18852021357742085,2.0053571428571444,0.05398200599800067,0.07764078640453183,True,False,False,no_fast_5pct_attention_pass,52,23
soul,18,24,6.925925925925926,6.263888888888888,0.6620370370370372,0.09054973240323429,-0.15670531400966142,1.65814393939394,0.06264578473842053,0.05031656114628457,False,False,False,no_fast_5pct_attention_pass,52,23
baseline,16,18,6.9375,5.240740740740741,1.6967592592592586,0.0015047444587870358,0.46042414274322235,2.882370141038871,0.005998000666444518,0.006331222925691436,True,True,True,no_fast_10pct_attention_pass,49,23
body,16,21,6.9375,6.476190476190477,0.46130952380952284,0.1903046841962601,-0.6458912037037033,1.605583333333335,0.18960346551149618,0.18693768743752082,False,False,False,no_fast_10pct_attention_pass,49,23
mind,16,19,6.9375,6.017543859649122,0.9199561403508776,0.051081969693823046,-0.2481534090909081,2.0894917440660477,0.0583138953682106,0.05998000666444518,False,False,False,no_fast_10pct_attention_pass,49,23
soul,16,24,6.9375,6.263888888888888,0.6736111111111116,0.10148571177156346,-0.22388350992571032,1.7371941464332785,0.0753082305898034,0.042652449183605466,False,False,True,no_fast_10pct_attention_pass,49,23
baseline,16,16,6.9375,5.375,1.5625,0.004573172311604064,0.22222222222222232,2.790643274853802,0.00866377874041986,0.010663112295901367,True,True,True,no_fast_15pct_attention_pass,46,23
body,16,20,6.9375,6.433333333333333,0.5041666666666673,0.1729410249117213,-0.580583333333332,1.6834708013640247,0.16494501832722425,0.18393868710429856,False,False,False,no_fast_15pct_attention_pass,46,23
mind,16,18,6.9375,5.962962962962963,0.9745370370370372,0.04509145648430111,-0.19301169590643114,2.1894939271255076,0.051649450183272244,0.06164611796067977,True,False,False,no_fast_15pct_attention_pass,46,23
soul,16,22,6.9375,6.333333333333332,0.6041666666666679,0.13209032611315089,-0.3247023809523794,1.6631340579710145,0.10996334555148284,0.051649450183272244,False,False,False,no_fast_15pct_attention_pass,46,23
baseline,15,16,7.0888888888888895,5.375,1.7138888888888895,0.002072581530657581,0.4814542483660143,2.8075073099415193,0.004998333888703766,0.013328890369876709,True,True,True,no_fast_20pct_attention_pass,44,22
body,15,19,7.0888888888888895,6.350877192982456,0.7380116959064331,0.08509013914003963,-0.29545454545454586,1.875029761904763,0.0773075641452849,0.18660446517827392,False,False,False,no_fast_20pct_attention_pass,44,22
mind,15,17,7.0888888888888895,6.098039215686274,0.9908496732026153,0.04191117380083472,-0.19683531746031593,2.2075599128540326,0.05298233922025991,0.06431189603465512,True,False,False,no_fast_20pct_attention_pass,44,22
soul,15,21,7.0888888888888895,6.444444444444445,0.6444444444444448,0.11553364892702052,-0.4484145021645023,1.7553868645973911,0.12695768077307565,0.08363878707097634,False,False,False,no_fast_20pct_attention_pass,44,22
baseline,14,15,7.261904761904762,5.2444444444444445,2.0174603174603174,0.000362426611269881,0.7284687208216613,3.137277945366181,0.002999000333222259,0.01166277907364212,True,True,True,no_fast_25pct_attention_pass,41,21
