responseId,participantId,assignmentId,trialIndex,scenarioId,scenarioType,scenarioPerson,condition,opponent,choice,rating,elapsedMs,side,chosen
6a1ec58eae120dd45d44bfbb:25:0,6a1ec58eae120dd45d44bfbb,25,0,priya_daily,daily,priya,soul,mind,left,9,82191,left,1.0
5eab170759f5390b776df5a1:15:0,5eab170759f5390b776df5a1,15,0,jonah_daily,daily,jonah,mind,soul,right,7,118721,left,0.0
6a1ec58eae120dd45d44bfbb:25:1,6a1ec58eae120dd45d44bfbb,25,1,priya_task,task,priya,body,full,left,8,75165,left,1.0
6a05d361e5c107c390a6e223:8:0,6a05d361e5c107c390a6e223,8,0,maya_daily,daily,maya,body,full,right,4,173608,left,0.0
69d7d67fd30867b10fb7e5b5:47:0,69d7d67fd30867b10fb7e5b5,47,0,serena_daily,daily,serena,soul,body,right,2,177527,left,0.0
61320873b568fa35a206c2b8:13:0,61320873b568fa35a206c2b8,13,0,jonah_daily,daily,jonah,baseline,full,left,9,99437,left,1.0
6a1d972aaf5d8856c4a31881:10:0,6a1d972aaf5d8856c4a31881,10,0,jonah_daily,daily,jonah,mind,baseline,right,6,429282,left,0.0
5eab170759f5390b776df5a1:15:1,5eab170759f5390b776df5a1,15,1,jonah_task,task,jonah,full,body,right,9,110545,left,0.0
6a1ec58eae120dd45d44bfbb:25:2,6a1ec58eae120dd45d44bfbb,25,2,alex_daily,daily,alex,body,baseline,right,7,65380,left,0.0
69d7d67fd30867b10fb7e5b5:47:1,69d7d67fd30867b10fb7e5b5,47,1,serena_task,task,serena,baseline,mind,right,2,62337,left,0.0
6a1ec58eae120dd45d44bfbb:25:3,6a1ec58eae120dd45d44bfbb,25,3,alex_task,task,alex,mind,body,right,8,46069,left,0.0
66a514309deb15f57d445c34:32:0,66a514309deb15f57d445c34,32,0,alex_daily,daily,alex,soul,baseline,right,6,157992,left,0.0
60e282f9202a8126e2ea0315:43:0,60e282f9202a8126e2ea0315,43,0,serena_daily,daily,serena,full,baseline,left,10,84109,left,1.0
69d7d67fd30867b10fb7e5b5:47:2,69d7d67fd30867b10fb7e5b5,47,2,maya_daily,daily,maya,full,baseline,right,5,56351,left,0.0
61320873b568fa35a206c2b8:13:1,61320873b568fa35a206c2b8,13,1,jonah_task,task,jonah,full,mind,right,6,96255,left,0.0
96606ca59fd9ef230d2197ce0:42:0,96606ca59fd9ef230d2197ce0,42,0,serena_daily,daily,serena,baseline,soul,left,10,135377,left,1.0
