response_index,option,label,rank
0,day_success_visualization,Day success visualization,1
0,mind_grounding,Mind grounding,2
0,task_success_visualization,Task success visualization,3
0,body_grounding,Body grounding,4
0,value_grounding,Value grounding,5
0,potential_obstacle_visualization,Obstacle visualization,6
1,day_success_visualization,Day success visualization,1
1,task_success_visualization,Task success visualization,2
1,potential_obstacle_visualization,Obstacle visualization,3
1,mind_grounding,Mind grounding,4
1,body_grounding,Body grounding,5
1,value_grounding,Value grounding,6
2,mind_grounding,Mind grounding,1
2,body_grounding,Body grounding,2
2,task_success_visualization,Task success visualization,3
2,value_grounding,Value grounding,4
2,day_success_visualization,Day success visualization,5
2,potential_obstacle_visualization,Obstacle visualization,6
3,day_success_visualization,Day success visualization,1
3,task_success_visualization,Task success visualization,2
3,value_grounding,Value grounding,3
3,mind_grounding,Mind grounding,4
3,potential_obstacle_visualization,Obstacle visualization,5
3,body_grounding,Body grounding,6
4,task_success_visualization,Task success visualization,1
4,mind_grounding,Mind grounding,2
4,day_success_visualization,Day success visualization,3
4,body_grounding,Body grounding,4
4,value_grounding,Value grounding,5
4,potential_obstacle_visualization,Obstacle visualization,6
5,day_success_visualization,Day success visualization,1
5,task_success_visualization,Task success visualization,2
5,value_grounding,Value grounding,3
5,potential_obstacle_visualization,Obstacle visualization,4
5,mind_grounding,Mind grounding,5
5,body_grounding,Body grounding,6
6,mind_grounding,Mind grounding,1
6,day_success_visualization,Day success visualization,2
6,task_success_visualization,Task success visualization,3
6,potential_obstacle_visualization,Obstacle visualization,4
6,body_grounding,Body grounding,5
6,value_grounding,Value grounding,6
7,potential_obstacle_visualization,Obstacle visualization,1
7,task_success_visualization,Task success visualization,2
7,day_success_visualization,Day success visualization,3
7,mind_grounding,Mind grounding,4
7,value_grounding,Value grounding,5
7,body_grounding,Body grounding,6
8,value_grounding,Value grounding,1
8,day_success_visualization,Day success visualization,2
8,task_success_visualization,Task success visualization,3
8,potential_obstacle_visualization,Obstacle visualization,4
8,mind_grounding,Mind grounding,5
8,body_grounding,Body grounding,6
9,task_success_visualization,Task success visualization,1
9,potential_obstacle_visualization,Obstacle visualization,2
9,body_grounding,Body grounding,3
9,value_grounding,Value grounding,4
9,mind_grounding,Mind grounding,5
