field,option,label,count,respondent_n,pct_of_respondents
perspectivePreference,first_person,First person,46,87,0.5287356321839081
perspectivePreference,second_person,Guide voice,42,87,0.4827586206896552
perspectivePreference,third_person,Third person,7,87,0.08045977011494253
perspectivePreference,no_preference,No preference,8,87,0.09195402298850575
guidanceLevel,light,Light cues,15,87,0.1724137931034483
guidanceLevel,moderate,Moderate,35,87,0.40229885057471265
guidanceLevel,step_by_step,Step by step,38,87,0.4367816091954023
guidanceLevel,adaptive,Adaptive,22,87,0.25287356321839083
backgroundAudio,none,None,23,87,0.26436781609195403
backgroundAudio,ambient,Ambient,32,87,0.367816091954023
backgroundAudio,nature,Nature,42,87,0.4827586206896552
backgroundAudio,piano_lofi,Piano/lo-fi,20,87,0.22988505747126436
backgroundAudio,energizing,Energizing,6,87,0.06896551724137931
backgroundAudio,other,Other,2,87,0.022988505747126436
scriptLength,0-1,0-1 min,1,87,0.011494252873563218
scriptLength,0-2,0-2 min,4,87,0.04597701149425287
scriptLength,0-3,0-3 min,5,87,0.05747126436781609
scriptLength,0-4,0-4 min,1,87,0.011494252873563218
scriptLength,0-5,0-5 min,19,87,0.21839080459770116
scriptLength,0-6,0-6 min,5,87,0.05747126436781609
scriptLength,0-7,0-7 min,6,87,0.06896551724137931
scriptLength,0-8,0-8 min,4,87,0.04597701149425287
scriptLength,0-10,0-10 min,7,87,0.08045977011494253
scriptLength,0-11,0-11 min,4,87,0.04597701149425287
scriptLength,0-12,0-12 min,1,87,0.011494252873563218
scriptLength,0-13,0-13 min,1,87,0.011494252873563218
scriptLength,1-2,1-2 min,1,87,0.011494252873563218
scriptLength,1-3,1-3 min,1,87,0.011494252873563218
scriptLength,1-4,1-4 min,1,87,0.011494252873563218
scriptLength,1-5,1-5 min,5,87,0.05747126436781609
scriptLength,1-15_plus,1-15+ min,1,87,0.011494252873563218
scriptLength,2-5,2-5 min,3,87,0.034482758620689655
scriptLength,2-8,2-8 min,1,87,0.011494252873563218
scriptLength,3-5,3-5 min,4,87,0.04597701149425287
scriptLength,3-6,3-6 min,2,87,0.022988505747126436
scriptLength,3-8,3-8 min,2,87,0.022988505747126436
scriptLength,5-5,5-5 min,1,87,0.011494252873563218
scriptLength,5-7,5-7 min,1,87,0.011494252873563218
scriptLength,5-10,5-10 min,1,87,0.011494252873563218
scriptLength,5-15_plus,5-15+ min,2,87,0.022988505747126436
scriptLength,6-15_plus,6-15+ min,1,87,0.011494252873563218
scriptLength,10-14,10-14 min,1,87,0.011494252873563218
scriptLength,10-15_plus,10-15+ min,1,87,0.011494252873563218
toneStyle,calm_supportive,Calm/supportive,56,87,0.6436781609195402
toneStyle,practical_direct,Practical/direct,29,87,0.3333333333333333
toneStyle,encouraging,Encouraging,37,87,0.42528735632183906
toneStyle,reflective,Reflective,21,87,0.2413793103448276
toneStyle,other,Other,1,87,0.011494252873563218
deliveryFormat,readable_text,Readable text,32,87,0.367816091954023
deliveryFormat,spoken_audio,Spoken audio,36,87,0.41379310344827586
deliveryFormat,text_and_audio,Text + audio,49,87,0.5632183908045977
deliveryFormat,interactive_steps,Interactive steps,17,87,0.19540229885057472
