field,option,label,count,respondent_n,pct_of_respondents
scriptLength,0-2,0-2 min,1,64,0.015625
scriptLength,0-3,0-3 min,3,64,0.046875
scriptLength,0-5,0-5 min,13,64,0.203125
scriptLength,0-6,0-6 min,5,64,0.078125
scriptLength,0-7,0-7 min,5,64,0.078125
scriptLength,0-8,0-8 min,2,64,0.03125
scriptLength,0-10,0-10 min,6,64,0.09375
scriptLength,0-11,0-11 min,4,64,0.0625
scriptLength,0-12,0-12 min,1,64,0.015625
scriptLength,0-13,0-13 min,1,64,0.015625
scriptLength,1-3,1-3 min,1,64,0.015625
scriptLength,1-5,1-5 min,5,64,0.078125
scriptLength,1-15_plus,1-15+ min,1,64,0.015625
scriptLength,2-5,2-5 min,1,64,0.015625
scriptLength,2-8,2-8 min,1,64,0.015625
scriptLength,3-5,3-5 min,4,64,0.0625
scriptLength,3-6,3-6 min,1,64,0.015625
scriptLength,3-8,3-8 min,2,64,0.03125
scriptLength,5-5,5 min,1,64,0.015625
scriptLength,5-7,5-7 min,1,64,0.015625
scriptLength,5-10,5-10 min,1,64,0.015625
scriptLength,5-15_plus,5-15+ min,2,64,0.03125
scriptLength,6-15_plus,6-15+ min,1,64,0.015625
scriptLength,10-14,10-14 min,1,64,0.015625
