"assignmentId","trialIndex","scenarioId","pairIndex","leftCondition","rightCondition"
"0","0","maya_daily","3","baseline","full"
"0","1","jonah_daily","6","full","mind"
"0","2","priya_daily","4","mind","body"
"1","0","alex_daily","9","full","soul"
"1","1","serena_daily","8","body","full"
"1","2","maya_daily","0","mind","baseline"
"2","0","jonah_daily","3","baseline","full"
"2","1","priya_daily","8","full","body"
"2","2","alex_daily","5","mind","soul"
"3","0","serena_daily","6","full","mind"
"3","1","maya_daily","9","soul","full"
"3","2","jonah_daily","1","body","baseline"
"4","0","priya_daily","3","baseline","full"
"4","1","alex_daily","7","soul","body"
"4","2","serena_daily","9","soul","full"
"5","0","maya_daily","8","full","body"
"5","1","jonah_daily","2","baseline","soul"
"5","2","priya_daily","6","full","mind"
"6","0","alex_daily","3","baseline","full"
"6","1","serena_daily","4","body","mind"
"6","2","maya_daily","6","mind","full"
"7","0","jonah_daily","9","full","soul"
"7","1","priya_daily","0","baseline","mind"
"7","2","alex_daily","8","full","body"
"8","0","serena_daily","3","baseline","full"
"8","1","maya_daily","7","soul","body"
"8","2","jonah_daily","8","body","full"
"9","0","priya_daily","9","full","soul"
"9","1","alex_daily","6","mind","full"
"9","2","serena_daily","1","body","baseline"
